hs6,name,,,,,,,,,,,,,
30199,Live fish(excl. of 0301.10-0301.95),,,,,,,,,,,,,
30211,Trout (Salmo trutta,,,,,,,,,,,,,
30212,Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for s,,,,,,,,,,,,,
30219,"""Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/other fish meat of 0",,,,,,,,,,,,,
30221,Halibut (Reinhardtius hippoglossoides,,,,,,,,,,,,,
30222,Plaice (Pleuronectes platessa),,,,,,,,,,,,,
30223,Sole (Solea spp.),,,,,,,,,,,,,
30229,Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species i,,,,,,,,,,,,,
30231,Albacore/longfinned tunas (Thunnus alalunga),,,,,,,,,,,,,
30232,Yellowfin tunas (Thunnus albacares),,,,,,,,,,,,,
30233,Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),,,,,,,,,,,,,
30234,Bigeye tunas (Thunnus obesus),,,,,,,,,,,,,
30235,Bluefin tunas (Thunnus thynnus),,,,,,,,,,,,,
30236,Southern bluefin tunas (Thunnus maccoyii),,,,,,,,,,,,,
30239,Tunas,,,,,,,,,,,,,
30240,Herrings (Clupea harengus/pallasii),,,,,,,,,,,,,
30250,Cod (Gadus morhua/ogac/macrocephalus),,,,,,,,,,,,,
30261,Sardines (Sardina pilchardus,,,,,,,,,,,,,
30262,Haddock (Melanogrammus aeglefinus),,,,,,,,,,,,,
30263,Coalfish (Pollachius virens),,,,,,,,,,,,,
30264,Mackerel (Scomber scombrus/australasicus/japonicus),,,,,,,,,,,,,
30265,Dogfish & other sharks,,,,,,,,,,,,,
30266,Eels (Anguilla spp.),,,,,,,,,,,,,
30267,Swordfish (Xiphias gladius),,,,,,,,,,,,,
30268,Toothfish (Dissostichus spp.),,,,,,,,,,,,,
30269,Fish,,,,,,,,,,,,,
30270,Fish livers & roes,,,,,,,,,,,,,
30311,Sockeye salmon (red salmon) (Oncorhynchus nerka),,,,,,,,,,,,,
30319,"""Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rho",,,,,,,,,,,,,
30321,Trout (Salmo trutta,,,,,,,,,,,,,
30322,Atlantic salmon (Salmo salar) & Danube salmon (Hucho hucho),,,,,,,,,,,,,
30329,Salmonidae (excl. of 0303.21 & 0303.22),,,,,,,,,,,,,
30331,Halibut (Reinhardtius hippoglossoides,,,,,,,,,,,,,
30332,Plaice (Pleuronectes platessa),,,,,,,,,,,,,
30333,Sole (Solea spp.),,,,,,,,,,,,,
30339,Flat fish (excl. of 0303.31-0303.33) [see list of conventions for species i,,,,,,,,,,,,,
30341,Albacore/longfinned tunas (Thunnus alalunga),,,,,,,,,,,,,
30342,Yellowfin tunas (Thunnus albacares),,,,,,,,,,,,,
30343,Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),,,,,,,,,,,,,
30344,Bigeye tunas (Thunnus obesus),,,,,,,,,,,,,
30345,Bluefin tunas (Thunnus thynnus),,,,,,,,,,,,,
30346,Southern bluefin tunas (Thunnus maccoyii),,,,,,,,,,,,,
30349,Tunas (excl. of 0303.41-0303.46),,,,,,,,,,,,,
30351,Herrings (Clupea harengus,,,,,,,,,,,,,
30352,Cod (Gadus morhua,,,,,,,,,,,,,
30361,Swordfish (Xiphias gladius),,,,,,,,,,,,,
30362,Toothfish (Dissostichus spp.),,,,,,,,,,,,,
30371,Sardines (Sardina pilchardus,,,,,,,,,,,,,
30372,Haddock (Melanogrammus aeglefinus),,,,,,,,,,,,,
30373,Coalfish (Pollachius virens),,,,,,,,,,,,,
30374,Mackerel (Scomber scombrus/australasicus/japonicus),,,,,,,,,,,,,
30375,Dogfish & other sharks,,,,,,,,,,,,,
30376,Eels (Anguilla spp.),,,,,,,,,,,,,
30377,Sea bass (Dicentrarchus labrax/punctatus),,,,,,,,,,,,,
30378,Hake (Merluccius spp.,,,,,,,,,,,,,
30379,Fish (excl. of 0303.71 - 0303.78),,,,,,,,,,,,,
30380,Fish livers & roes,,,,,,,,,,,,,
30411,Swordfish (Xiphias gladius),,,,,,,,,,,,,
30412,Toothfish (Dissostichus spp.),,,,,,,,,,,,,
30419,Fish fillets&other fish meat (excl. of 0304.11-0304.12,,,,,,,,,,,,,
30421,Swordfish (Xiphias gladius),,,,,,,,,,,,,
30422,Toothfish (Dissostichus spp.),,,,,,,,,,,,,
30429,Fish fillets&other fish meat (excl. of 0304.21-0304.92,,,,,,,,,,,,,
30491,Swordfish (Xiphias gladius),,,,,,,,,,,,,
30492,Toothfish (Dissostichus spp.),,,,,,,,,,,,,
30499,Fish fillets&other fish meat (excl. of 0304.11-0304.29,,,,,,,,,,,,,
30510,Flours,,,,,,,,,,,,,
30520,Livers & roes of fish,,,,,,,,,,,,,
30530,Fish fillets,,,,,,,,,,,,,
30541,Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for s,,,,,,,,,,,,,
30542,Herrings (Clupea harengus/pallasii),,,,,,,,,,,,,
30549,Smoked fish (excl. of 0305.41 & 0305.42),,,,,,,,,,,,,
30551,Cod (Gadus morhua/ogac/macrocephalus),,,,,,,,,,,,,
30559,Dried fish other than cod (Gadus morhua/ogac/macrocephalus),,,,,,,,,,,,,
30561,Herrings (Clupea harengus/pallasii),,,,,,,,,,,,,
30562,Cod (Gadus morhua/ogac/macrocephalus),,,,,,,,,,,,,
30563,Anchovies (Engraulis spp.),,,,,,,,,,,,,
30569,Fish other than herrings (Clupea harengus/pallasii),,,,,,,,,,,,,
30611,Rock lobster & other sea crawfish (Palinurus spp.,,,,,,,,,,,,,
30612,Lobsters (Homarus spp.),,,,,,,,,,,,,
30613,Shrimps & prawns,,,,,,,,,,,,,
30614,Crabs,,,,,,,,,,,,,
30619,"""Frozen crustaceans (excl. of 0306.11-0306.14); frozen flours/meals/pellets",,,,,,,,,,,,,
30621,Rock lobster & other sea crawfish (Palinurus spp.,,,,,,,,,,,,,
30622,Lobsters (Homarus spp.),,,,,,,,,,,,,
30623,Shrimps & prawns,,,,,,,,,,,,,
30624,Crabs,,,,,,,,,,,,,
30629,"""Crustaceans",,,,,,,,,,,,,
30710,Oysters,,,,,,,,,,,,,
30721,Scallops,,,,,,,,,,,,,
30729,Scallops,,,,,,,,,,,,,
30731,Mussels (Mytilus spp.,,,,,,,,,,,,,
30739,Mussels (Mytilus spp.,,,,,,,,,,,,,
30741,Cuttle fish (Sepia officinalis,,,,,,,,,,,,,
30749,Cuttle fish (Sepia officinalis,,,,,,,,,,,,,
30751,Octopus (Octopus spp.),,,,,,,,,,,,,
30759,Octopus (Octopus spp.),,,,,,,,,,,,,
30760,Snails (excl. sea snails);,,,,,,,,,,,,,
30791,Molluscs & invertebrates (excl. of 0307.10-0307.60),,,,,,,,,,,,,
30799,"""Molluscs & invertebrates (excl. of 0307.10-0307.60)",,,,,,,,,,,,,
40110,Milk & cream,,,,,,,,,,,,,
40120,Milk & cream,,,,,,,,,,,,,
40130,Milk & cream,,,,,,,,,,,,,
40210,Milk in powder/granules/other solid form,,,,,,,,,,,,,
40221,Milk in powder/granules/other solid form,,,,,,,,,,,,,
40229,Milk in powder/granules/other solid form,,,,,,,,,,,,,
40291,Milk & cream,,,,,,,,,,,,,
40299,Milk & cream,,,,,,,,,,,,,
40310,Yogurt;,,,,,,,,,,,,,
40390,Buttermilk/curdled milk & cream/kephir & other fermented/acidified milk & c,,,,,,,,,,,,,
40410,Whey & modified whey,,,,,,,,,,,,,
40490,Milk products of natural milk constituents,,,,,,,,,,,,,
40510,Butter;,,,,,,,,,,,,,
40520,Dairy spreads;,,,,,,,,,,,,,
40590,Fats & oils derived from milk,,,,,,,,,,,,,
40610,Fresh (unripened/uncured) cheese,,,,,,,,,,,,,
40620,Grated/powdered cheese,,,,,,,,,,,,,
40630,Processed cheese,,,,,,,,,,,,,
40640,Blue-veined cheese;,,,,,,,,,,,,,
40690,Cheese (excl. of 0406.10-0406.40);,,,,,,,,,,,,,
40700,Birds' eggs,,,,,,,,,,,,,
40811,Egg yolks,,,,,,,,,,,,,
40819,Egg yolks (excl. dried),,,,,,,,,,,,,
40891,Birds' eggs,,,,,,,,,,,,,
40899,Birds' eggs,,,,,,,,,,,,,
40900,Natural honey;,,,,,,,,,,,,,
41000,Edible products of animal origin,,,,,,,,,,,,,
50100,"""Human hair",,,,,,,,,,,,,
50210,Pigs'/hogs'/boars' bristles & hair & waste thereof;,,,,,,,,,,,,,
50290,"""Badger hair & other brush making hair; waste of such bristles/hair"";",,,,,,,,,,,,,
50400,Guts,,,,,,,,,,,,,
50510,"""Feathers of a kind used for stuffing; down"";",,,,,,,,,,,,,
50590,"""Skins & other parts of birds with feathers/down; feathers & parts of feath",,,,,,,,,,,,,
50610,Ossein & bones treated with acid;,,,,,,,,,,,,,
50690,"""Bones & horn-cores",,,,,,,,,,,,,
50710,"""Ivory; ivory powder & waste"";",,,,,,,,,,,,,
50790,"""Tortoise-shell",,,,,,,,,,,,,
50800,"""Coral & similar materials",,,,,,,,,,,,,
51000,"""Ambergris",,,,,,,,,,,,,
51110,Bovine semen;,,,,,,,,,,,,,
51191,"""Products of fish/crustaceans",,,,,,,,,,,,,
51199,"""Animal products not elsewhere specified/incld. (excl. of 0511.10); dead an",,,,,,,,,,,,,
60110,Bulbs,,,,,,,,,,,,,
60120,"""Bulbs",,,,,,,,,,,,,
60210,Unrooted cuttings & slips;,,,,,,,,,,,,,
60220,Trees,,,,,,,,,,,,,
60230,Rhododendrons & azaleas,,,,,,,,,,,,,
60240,Roses,,,,,,,,,,,,,
60290,"""Live plants",,,,,,,,,,,,,
60311,Fresh roses;,,,,,,,,,,,,,
60312,Fresh carnations;,,,,,,,,,,,,,
60313,Fresh orchids;,,,,,,,,,,,,,
60314,Fresh chrysanthemums;,,,,,,,,,,,,,
60319,Cut flowers & flower buds of a kind suit. for bouquets/ornamental purposes(,,,,,,,,,,,,,
60390,Cut flowers & flower buds of a kind suit. for bouquets/ornamental purposes,,,,,,,,,,,,,
60410,Mosses & lichens;,,,,,,,,,,,,,
60491,Foliage,,,,,,,,,,,,,
60499,Foliage,,,,,,,,,,,,,
70110,Seed potatoes,,,,,,,,,,,,,
70190,Potatoes other than seed potatoes,,,,,,,,,,,,,
70200,Tomatoes,,,,,,,,,,,,,
70310,Onions & shallots,,,,,,,,,,,,,
70320,Garlic,,,,,,,,,,,,,
70390,Leeks & other alliaceous vegetables,,,,,,,,,,,,,
70410,Cauliflowers & headed broccoli,,,,,,,,,,,,,
70420,Brussels sprouts,,,,,,,,,,,,,
70490,Cabbages,,,,,,,,,,,,,
70511,Cabbage lettuce (head lettuce),,,,,,,,,,,,,
70519,Lettuce (Lactuca sativa) (excl. cabbage lettuce) fresh/chilled;,,,,,,,,,,,,,
70521,Witloof chicory (Cichorium intybus var. foliosum),,,,,,,,,,,,,
70529,Chicory (excl. witloof chicory),,,,,,,,,,,,,
70610,Carrots & turnips,,,,,,,,,,,,,
70690,Salad beetroot,,,,,,,,,,,,,
70700,Cucumbers & gherkins,,,,,,,,,,,,,
70810,Peas (Pisum sativum),,,,,,,,,,,,,
70820,Beans (Vigna spp.,,,,,,,,,,,,,
70890,Leguminous vegetables (excl. of 0708.10 & 0708.20),,,,,,,,,,,,,
70920,Asparagus,,,,,,,,,,,,,
70930,Aubergines (egg-plants),,,,,,,,,,,,,
70940,Celery (excl. celeriac),,,,,,,,,,,,,
70951,Mushrooms of the genus Agaricus,,,,,,,,,,,,,
70959,Mushrooms&truffles (excl. of 0709.51),,,,,,,,,,,,,
70960,Fruits of the genera Capsicum/Pimenta,,,,,,,,,,,,,
70970,Spinach,,,,,,,,,,,,,
70990,Vegetables,,,,,,,,,,,,,
71010,Potatoes,,,,,,,,,,,,,
71021,Peas (Pisum sativum),,,,,,,,,,,,,
71022,Beans (Vigna spp.,,,,,,,,,,,,,
71029,Leguminous vegetables (excl. of 0710.21 & 0710.22),,,,,,,,,,,,,
71030,Spinach,,,,,,,,,,,,,
71040,Sweet corn,,,,,,,,,,,,,
71080,Vegetables,,,,,,,,,,,,,
71090,Mixtures of vegetables,,,,,,,,,,,,,
71120,Olives,,,,,,,,,,,,,
71140,Cucumbers & gherkins,,,,,,,,,,,,,
71151,Mushrooms of the genus Agaricus,,,,,,,,,,,,,
71159,Mushrooms other than of the genus Agaricus,,,,,,,,,,,,,
71190,Vegetables (excl. olives/cucumbers & gherkins/mushrooms & truffles)&mixture,,,,,,,,,,,,,
71220,Onions,,,,,,,,,,,,,
71231,Mushrooms of the genus Agaricus,,,,,,,,,,,,,
71232,Wood ears (Auricularia spp.),,,,,,,,,,,,,
71233,Jelly fungi (Tremella spp.),,,,,,,,,,,,,
71239,Mushrooms (excl. of 0712.31-0712.33) & truffles,,,,,,,,,,,,,
71290,"""Dried vegetables",,,,,,,,,,,,,
71310,Peas (Pisum sativum),,,,,,,,,,,,,
71320,Chickpeas (garbanzos),,,,,,,,,,,,,
71331,Beans of the species Vigna mungo (L.)/Hepper/Vigna radiata (L.) Wilczek,,,,,,,,,,,,,
71332,Small red (Adzuki) beans (Phaseolus/Vigna angularis),,,,,,,,,,,,,
71333,Kidney beans,,,,,,,,,,,,,
71339,Beans (Vigna spp.,,,,,,,,,,,,,
71340,Lentils,,,,,,,,,,,,,
71350,Broad beans (Vicia faba var. major) & horse beans (Vicia faba var. equina/v,,,,,,,,,,,,,
71390,Dried leguminous vegetables,,,,,,,,,,,,,
71410,Manioc (cassava);,,,,,,,,,,,,,
71420,Sweet potatoes;,,,,,,,,,,,,,
71490,"""Arrowroot",,,,,,,,,,,,,
80111,Coconuts,,,,,,,,,,,,,
80119,Cocunuts,,,,,,,,,,,,,
80121,Brazil nuts,,,,,,,,,,,,,
80122,Brazil nuts,,,,,,,,,,,,,
80131,Cashew nuts,,,,,,,,,,,,,
80132,Cashew nuts,,,,,,,,,,,,,
80211,Almonds,,,,,,,,,,,,,
80212,Almonds,,,,,,,,,,,,,
80221,Hazelnuts/filberts (Corylus spp.),,,,,,,,,,,,,
80222,Hazelnuts/filberts (Corylus spp.),,,,,,,,,,,,,
80231,Walnuts,,,,,,,,,,,,,
80232,Walnuts,,,,,,,,,,,,,
80240,Chestnuts (Castanea spp.);,,,,,,,,,,,,,
80250,Pistachios;,,,,,,,,,,,,,
80260,Macadamia nuts;,,,,,,,,,,,,,
80290,Nuts,,,,,,,,,,,,,
80300,Bananas,,,,,,,,,,,,,
80410,Dates,,,,,,,,,,,,,
80420,Figs,,,,,,,,,,,,,
80430,Pineapples,,,,,,,,,,,,,
80440,Avocados,,,,,,,,,,,,,
80450,Guavas,,,,,,,,,,,,,
80510,Oranges,,,,,,,,,,,,,
80520,"""Mandarins",,,,,,,,,,,,,
80540,Grapefruit,,,,,,,,,,,,,
80550,Lemons (Citrus limon/limonum) & limes (Citrus aurantifolia/latifolia),,,,,,,,,,,,,
80590,Citrus fruit (excl. of 0805.10-0805.50),,,,,,,,,,,,,
80610,Grapes,,,,,,,,,,,,,
80620,Grapes,,,,,,,,,,,,,
80711,Watermelons,,,,,,,,,,,,,
80719,Melons (excl. watermelons),,,,,,,,,,,,,
80720,Papaws (papayas),,,,,,,,,,,,,
80810,Apples,,,,,,,,,,,,,
80820,Pears & quinces,,,,,,,,,,,,,
80910,Apricots,,,,,,,,,,,,,
80920,Cherries,,,,,,,,,,,,,
80930,Peaches,,,,,,,,,,,,,
80940,Plums & sloes,,,,,,,,,,,,,
81010,Strawberries,,,,,,,,,,,,,
81020,Raspberries,,,,,,,,,,,,,
81040,Cranberries,,,,,,,,,,,,,
81050,Kiwifruit,,,,,,,,,,,,,
81060,Durians,,,,,,,,,,,,,
81090,Fresh fruit,,,,,,,,,,,,,
81110,Strawberries,,,,,,,,,,,,,
81120,Raspberries,,,,,,,,,,,,,
81190,Fruit & nuts,,,,,,,,,,,,,
81210,Cherries,,,,,,,,,,,,,
81290,Fruit (excl. cherries) & nuts,,,,,,,,,,,,,
81310,Apricots,,,,,,,,,,,,,
81320,Prunes,,,,,,,,,,,,,
81330,Apples,,,,,,,,,,,,,
81340,Dried fruit (excl. of 08.01-08.06 & 0813.10-0813.30);,,,,,,,,,,,,,
81350,Mixtures of nuts/dried fruits of Ch.8;,,,,,,,,,,,,,
81400,Peel of citrus fruit/melons,,,,,,,,,,,,,
90111,Coffee,,,,,,,,,,,,,
90112,Coffee,,,,,,,,,,,,,
90121,Coffee,,,,,,,,,,,,,
90122,Coffee,,,,,,,,,,,,,
90190,"""Coffee husks & skins; coffee substitutes containing coffee in any proporti",,,,,,,,,,,,,
90210,Tea,,,,,,,,,,,,,
90220,Tea,,,,,,,,,,,,,
90230,Tea,,,,,,,,,,,,,
90240,Tea,,,,,,,,,,,,,
90300,Maté;,,,,,,,,,,,,,
90411,Pepper (genus Piper),,,,,,,,,,,,,
90412,Pepper (genus Piper),,,,,,,,,,,,,
90420,Fruits of the genera Capsicum/Pimenta,,,,,,,,,,,,,
90500,Vanilla;,,,,,,,,,,,,,
90611,Cinnamon(Cinnamomum zeylanicum Blume) & cinnamon-tree flowers,,,,,,,,,,,,,
90619,Cinnamon(excl. of  0906.11) & cinnamon-tree flowers,,,,,,,,,,,,,
90620,Cinnamon & cinnamon-tree flowers,,,,,,,,,,,,,
90700,Cloves (whole fruit,,,,,,,,,,,,,
90810,Nutmeg;,,,,,,,,,,,,,
90820,Mace;,,,,,,,,,,,,,
90830,Cardamoms;,,,,,,,,,,,,,
90910,Seeds of anise/badian;,,,,,,,,,,,,,
90920,Seeds of coriander;,,,,,,,,,,,,,
90930,Seeds of cumin;,,,,,,,,,,,,,
90940,Seeds of caraway;,,,,,,,,,,,,,
90950,"""Seeds of fennel; juniper berries"";",,,,,,,,,,,,,
91010,Ginger;,,,,,,,,,,,,,
91020,Saffron;,,,,,,,,,,,,,
91030,Turmeric (curcuma);,,,,,,,,,,,,,
91091,Mixtures of 2/more products of different headings of 09.04-09.10;,,,,,,,,,,,,,
91099,Spices,,,,,,,,,,,,,
100110,Durum wheat;,,,,,,,,,,,,,
100190,"""Wheat other than durum wheat; meslin"";",,,,,,,,,,,,,
100200,Rye;,,,,,,,,,,,,,
100300,Barley;,,,,,,,,,,,,,
100400,Oats;,,,,,,,,,,,,,
100510,Maize (corn),,,,,,,,,,,,,
100590,Maize (corn),,,,,,,,,,,,,
100610,Rice in the husk (paddy/rough);,,,,,,,,,,,,,
100620,Husked (brown) rice;,,,,,,,,,,,,,
100630,Semi-milled/wholly milled rice,,,,,,,,,,,,,
100640,Broken rice;,,,,,,,,,,,,,
100700,Grain sorghum;,,,,,,,,,,,,,
100810,Buckwheat;,,,,,,,,,,,,,
100820,Millet;,,,,,,,,,,,,,
100830,Canary seed;,,,,,,,,,,,,,
100890,Cereals (excl. those which have been hulled/othw. worked),,,,,,,,,,,,,
110100,Wheat/meslin flour;,,,,,,,,,,,,,
110210,Rye flour;,,,,,,,,,,,,,
110220,Maize (corn) flour;,,,,,,,,,,,,,
110290,Cereal flour other than of wheat/meslin/rye/maize(corn);,,,,,,,,,,,,,
110311,Groats/meal of wheat;,,,,,,,,,,,,,
110313,Groats/meal of maize (corn);,,,,,,,,,,,,,
110319,Groats/meal of cereals other than wheat & maize (corn);,,,,,,,,,,,,,
110320,Pellets of cereals;,,,,,,,,,,,,,
110412,Rolled/flaked grains of oats;,,,,,,,,,,,,,
110419,Rolled/flaked grains of cereals other than oats;,,,,,,,,,,,,,
110422,Oats,,,,,,,,,,,,,
110423,Corn (maize),,,,,,,,,,,,,
110429,Other worked grains (e.g.,,,,,,,,,,,,,
110430,Germ of cereals,,,,,,,,,,,,,
110510,Flour,,,,,,,,,,,,,
110520,Flakes,,,,,,,,,,,,,
110610,Flour,,,,,,,,,,,,,
110620,Flour,,,,,,,,,,,,,
110630,Flour,,,,,,,,,,,,,
110710,Malt,,,,,,,,,,,,,
110720,Malt,,,,,,,,,,,,,
110811,Wheat starch;,,,,,,,,,,,,,
110812,Maize (corn) starch;,,,,,,,,,,,,,
110813,Potato starch;,,,,,,,,,,,,,
110814,Manioc (cassava) starch;,,,,,,,,,,,,,
110819,Starches (excl. of 1108.11-1108.14);,,,,,,,,,,,,,
110820,Inulin;,,,,,,,,,,,,,
110900,Wheat gluten,,,,,,,,,,,,,
120100,Soya beans,,,,,,,,,,,,,
120210,Ground-nuts,,,,,,,,,,,,,
120220,Ground-nuts,,,,,,,,,,,,,
120300,Copra;,,,,,,,,,,,,,
120400,Linseed,,,,,,,,,,,,,
120510,Low erucic acid rape/colza seeds,,,,,,,,,,,,,
120590,Rape/colza seeds (excl. low erucic acid),,,,,,,,,,,,,
120600,Sunflower seeds,,,,,,,,,,,,,
120720,Cotton seeds,,,,,,,,,,,,,
120740,Sesamum seeds,,,,,,,,,,,,,
120750,Mustard seeds,,,,,,,,,,,,,
120791,Poppy seeds,,,,,,,,,,,,,
120799,Oil seeds & oleaginous fruits (excl. of 1206.00 & 1207.20-1207.91),,,,,,,,,,,,,
120810,Flours & meals of soya beans;,,,,,,,,,,,,,
120890,Flours & meals of oil seeds/oleaginous fruits other than of mustard (excl. ,,,,,,,,,,,,,
120910,Sugar beet seed,,,,,,,,,,,,,
120921,Lucerne (alfalfa) seed,,,,,,,,,,,,,
120922,Clover (Trifolium spp.) seed,,,,,,,,,,,,,
120923,Fescue seed,,,,,,,,,,,,,
120924,Kentucky blue grass (Poa pratensis L.) seed,,,,,,,,,,,,,
120925,Rye grass (Lolium multiflorum Lam./perenne L.) seed,,,,,,,,,,,,,
120929,Seeds of forage plants (excl. of 1209.21-1209.25),,,,,,,,,,,,,
120930,Seeds of herbaceous plants cultivated principally for their flowers,,,,,,,,,,,,,
120991,Vegetable seeds,,,,,,,,,,,,,
120999,Seeds,,,,,,,,,,,,,
121010,Hop cones,,,,,,,,,,,,,
121020,"""Hop cones",,,,,,,,,,,,,
121120,Ginseng roots;,,,,,,,,,,,,,
121130,Coca leaf;,,,,,,,,,,,,,
121140,Poppy straw;,,,,,,,,,,,,,
121190,Plants & parts of plants,,,,,,,,,,,,,
121220,Seaweeds & other algae,,,,,,,,,,,,,
121291,Sugar beet,,,,,,,,,,,,,
