hs6,name,,,,,,,,,,,,,
10110,Live horses/asses/mules/hinnies: pure-bred breeding animals;,,,,,,,,,,,,,
10190,Live horses/asses/mules/hinnies other than pure-bred breeding animals;,,,,,,,,,,,,,
10210,Live bovine animals: pure-bred breeding animals;,,,,,,,,,,,,,
10290,Live bovine animals other than pure-bred breeding animals;,,,,,,,,,,,,,
10310,Live swine: pure-bred breeding animals;,,,,,,,,,,,,,
10391,Live swine other than pure-bred breeding animals,,,,,,,,,,,,,
10392,Live swine other than pure-bred breeding animals,,,,,,,,,,,,,
10410,Live sheep ;,,,,,,,,,,,,,
10420,Live goats;,,,,,,,,,,,,,
10511,Live fowls of species Gallus domesticus,,,,,,,,,,,,,
10512,Live turkeys,,,,,,,,,,,,,
10519,Live ducks/geese/guinea fowls,,,,,,,,,,,,,
10594,Live fowls of species Gallus domesticus,,,,,,,,,,,,,
10599,Live ducks/geese/turkeys/guinea fowls,,,,,,,,,,,,,
10611,Live primates;,,,,,,,,,,,,,
10612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order ,,,,,,,,,,,,,
10619,Live mammals,,,,,,,,,,,,,
10620,Live reptiles,,,,,,,,,,,,,
10631,Live birds of prey;,,,,,,,,,,,,,
10632,Live birds (order Psittaciformes),,,,,,,,,,,,,
10639,Live birds (excl. of 0106.31 & 0106.32);,,,,,,,,,,,,,
10690,Live animals,,,,,,,,,,,,,
20110,Carcasses/half-carcasses of bovine animals,,,,,,,,,,,,,
20120,Meat of bovine animals,,,,,,,,,,,,,
20130,Meat of bovine animals,,,,,,,,,,,,,
20210,Carcasses/half-carcasses of bovine animals,,,,,,,,,,,,,
20220,Meat of bovine animals,,,,,,,,,,,,,
20230,Meat of bovine animals,,,,,,,,,,,,,
20311,Carcasses/half-carcasses of swine,,,,,,,,,,,,,
20312,Hams,,,,,,,,,,,,,
20319,Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof,,,,,,,,,,,,,
20321,Carcasses/half-carcasses of swine,,,,,,,,,,,,,
20322,Hams,,,,,,,,,,,,,
20329,Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof,,,,,,,,,,,,,
20410,Carcasses/half-carcasses of lamb,,,,,,,,,,,,,
20421,Carcasses/half-carcasses of sheep (excl. lamb),,,,,,,,,,,,,
20422,Meat of sheep (excl. lamb & carcasses),,,,,,,,,,,,,
20423,Meat of sheep (excl. lamb),,,,,,,,,,,,,
20430,Carcasses/half-carcasses of lamb,,,,,,,,,,,,,
20441,Carcasses/half-carcasses of sheep (excl. lamb),,,,,,,,,,,,,
20442,Meat of sheep (excl. lamb & carcasses),,,,,,,,,,,,,
20443,Meat of sheep (excl. lamb),,,,,,,,,,,,,
20450,Meat of goats,,,,,,,,,,,,,
20500,Meat of horses/asses/mules/hinnies,,,,,,,,,,,,,
20610,Edible offal of bovine animals,,,,,,,,,,,,,
20621,Tongues of bovine animals,,,,,,,,,,,,,
20622,Livers of bovine animals,,,,,,,,,,,,,
20629,Edible offal of bovine animals (excl. tongues & livers),,,,,,,,,,,,,
20630,Edible offal of swine,,,,,,,,,,,,,
20641,Livers of swine,,,,,,,,,,,,,
20649,Edible offal of swine (excl. liver),,,,,,,,,,,,,
20680,Edible offal,,,,,,,,,,,,,
20690,Edible offal,,,,,,,,,,,,,
20711,Meat of fowls of species Gallus domesticus,,,,,,,,,,,,,
20712,Meat of fowls of species Gallus domesticus,,,,,,,,,,,,,
20713,Cuts & edible offal of species Gallus domesticus,,,,,,,,,,,,,
20714,Cuts & edible offal of species Gallus domesticus,,,,,,,,,,,,,
20724,Meat of turkeys,,,,,,,,,,,,,
20725,Meat of turkeys,,,,,,,,,,,,,
20726,Cuts & edible offal of turkey,,,,,,,,,,,,,
20727,Cuts & edible offal of turkey,,,,,,,,,,,,,
20732,Meat of ducks/geese/guinea fowls,,,,,,,,,,,,,
20733,Meat of ducks/geese/guinea fowls,,,,,,,,,,,,,
20734,Fatty livers of ducks/geese/guinea fowls,,,,,,,,,,,,,
20735,Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207,,,,,,,,,,,,,
20736,Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207,,,,,,,,,,,,,
20810,Meat & edible meat offal of rabbits/hares,,,,,,,,,,,,,
20830,Meat & edible meat offal of primates,,,,,,,,,,,,,
20840,"""Meat & edible offal of whales",,,,,,,,,,,,,
20850,Meat & edible offal of reptiles,,,,,,,,,,,,,
20890,Meat&edible meat offal,,,,,,,,,,,,,
20900,Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted),,,,,,,,,,,,,
21011,Hams,,,,,,,,,,,,,
21012,Bellies (streaky) & cuts thereof ,,,,,,,,,,,,,
21019,Meat of swine (excl. hams/shoulders & cuts thereof & bellies (streaky) & cu,,,,,,,,,,,,,
21020,Meat of bovine animals,,,,,,,,,,,,,
21091,Meat & edible meat offal of primates,,,,,,,,,,,,,
21092,Meat & edible meat offal of whales/dolphins/porpoises (order Cetacea)/manat,,,,,,,,,,,,,
21093,Meat & edible meat offal of reptiles,,,,,,,,,,,,,
21099,Meat & edible meat offal,,,,,,,,,,,,,
30110,Live ornamental fish;,,,,,,,,,,,,,
30191,Live trout (Salmo trutta,,,,,,,,,,,,,
30192,Live eels (Anguilla spp.);,,,,,,,,,,,,,
30193,Live carp;,,,,,,,,,,,,,
30194,Live bluefin tunas (Thunnus thynnus);,,,,,,,,,,,,,
30195,Live southern bluefin tunas (Thunnus maccoyii);,,,,,,,,,,,,,
