year,hs6,c
2008,10392,1
2008,10619,1
2008,10620,1
2008,10631,1
2008,20210,1
2008,20311,1
2008,30510,1
2008,40410,1
2008,40899,1
2008,50400,1
2008,50590,1
2008,51191,1
2008,60210,1
2008,60410,1
2008,81290,1
2008,90112,1
2008,100200,1
2008,100510,1
2008,110710,1
2008,110720,1
2008,120590,1
2008,120799,1
2008,120999,1
2008,121130,1
2008,121140,1
2008,121190,1
2008,150410,1
2008,150420,1
2008,151521,1
2008,151550,1
2008,151590,1
2008,160300,1
2008,210220,1
2008,210230,1
2008,220710,1
2008,230500,1
2008,240110,1
2008,240130,1
2008,250590,1
2008,250610,1
2008,251110,1
2008,251400,1
2008,251611,1
2008,251710,1
2008,251741,1
2008,251910,1
2008,251990,1
2008,252210,1
2008,252220,1
2008,252230,1
2008,252310,1
2008,252329,1
2008,252510,1
2008,252910,1
2008,260300,1
2008,261900,1
2008,262011,1
2008,262091,1
2008,262099,1
2008,262110,1
2008,270400,1
2008,270740,1
2008,270791,1
2008,270810,1
2008,270900,1
2008,271113,1
2008,271119,1
2008,271210,1
2008,271220,1
2008,271490,1
2008,271500,1
2008,280110,1
2008,280421,1
2008,280430,1
2008,280440,1
2008,280450,1
2008,280480,1
2008,280490,1
2008,281121,1
2008,281420,1
2008,281512,1
2008,281610,1
2008,281810,1
2008,281830,1
2008,282410,1
2008,282540,1
2008,282612,1
2008,282630,1
2008,283322,1
2008,283325,1
2008,283329,1
2008,283526,1
2008,283539,1
2008,283620,1
2008,283630,1
2008,283650,1
2008,283990,1
2008,284590,1
2008,284700,1
2008,284920,1
2008,284990,1
2008,290122,1
2008,290124,1
2008,290220,1
2008,290243,1
2008,290290,1
2008,290329,1
2008,290331,1
2008,290344,1
2008,290351,1
2008,290511,1
2008,290542,1
2008,290619,1
2008,290723,1
2008,290811,1
2008,290891,1
2008,290919,1
2008,291020,1
2008,291030,1
2008,291090,1
2008,291211,1
2008,291219,1
2008,291421,1
2008,291431,1
2008,291439,1
2008,291440,1
2008,291560,1
2008,291590,1
2008,291714,1
2008,291719,1
2008,291732,1
2008,291735,1
2008,291736,1
2008,291813,1
2008,291819,1
2008,291891,1
2008,291910,1
2008,292146,1
2008,292219,1
2008,292249,1
2008,292250,1
2008,292390,1
2008,292411,1
2008,292421,1
2008,292423,1
2008,292512,1
2008,292610,1
2008,292700,1
2008,293229,1
2008,293299,1
2008,293369,1
2008,293371,1
2008,293372,1
2008,293379,1
2008,293430,1
2008,293499,1
2008,293722,1
2008,293723,1
2008,293729,1
2008,293790,1
2008,293919,1
2008,294200,1
2008,300692,1
2008,310229,1
2008,310230,1
2008,310260,1
2008,310280,1
2008,310520,1
2008,310551,1
2008,310590,1
2008,320619,1
2008,320649,1
2008,320740,1
2008,320810,1
2008,320890,1
2008,321000,1
2008,321100,1
2008,321410,1
2008,321519,1
2008,330129,1
2008,340211,1
2008,340290,1
2008,340490,1
2008,350219,1
2008,350290,1
2008,350710,1
2008,350790,1
2008,360100,1
2008,360200,1
2008,370191,1
2008,370510,1
2008,380610,1
2008,380620,1
2008,380910,1
2008,380991,1
2008,380992,1
2008,381119,1
2008,381129,1
2008,381230,1
2008,382311,1
2008,382410,1
2008,382440,1
2008,382476,1
2008,382478,1
2008,382541,1
2008,382549,1
2008,382550,1
2008,382569,1
2008,382590,1
2008,390110,1
2008,390311,1
2008,390421,1
2008,390422,1
2008,390512,1
2008,390760,1
2008,390910,1
2008,390920,1
2008,390940,1
2008,391520,1
2008,391620,1
2008,391721,1
2008,391729,1
2008,391732,1
2008,391739,1
2008,391740,1
2008,391890,1
2008,392010,1
2008,392020,1
2008,392030,1
2008,392051,1
2008,392063,1
2008,392069,1
2008,392092,1
2008,392111,1
2008,392112,1
2008,392113,1
2008,392210,1
2008,392310,1
2008,392329,1
2008,392390,1
2008,392510,1
2008,392520,1
2008,392590,1
2008,392610,1
2008,392630,1
2008,400121,1
2008,400211,1
2008,400400,1
2008,400510,1
2008,400819,1
2008,400821,1
2008,400829,1
2008,400911,1
2008,400912,1
2008,400921,1
2008,400941,1
2008,401012,1
2008,401033,1
2008,401110,1
2008,401120,1
2008,401162,1
2008,401192,1
2008,401193,1
2008,401199,1
2008,401211,1
2008,401219,1
2008,401700,1
2008,410229,1
2008,410320,1
2008,410441,1
2008,410692,1
2008,410711,1
2008,410712,1
2008,410719,1
2008,410791,1
2008,410792,1
2008,411410,1
2008,411420,1
2008,411520,1
2008,430160,1
2008,430190,1
2008,430211,1
2008,430219,1
2008,430230,1
2008,440121,1
2008,440392,1
2008,440420,1
2008,440500,1
2008,440890,1
2008,440921,1
2008,441011,1
2008,441012,1
2008,441112,1
2008,441114,1
2008,441194,1
2008,441300,1
2008,441520,1
2008,441700,1
2008,441871,1
2008,441879,1
2008,441890,1
2008,442190,1
2008,470329,1
2008,470620,1
2008,470693,1
2008,480100,1
2008,480210,1
2008,480220,1
2008,480254,1
2008,480255,1
2008,480257,1
2008,480262,1
2008,480519,1
2008,480524,1
2008,480525,1
2008,480591,1
2008,480592,1
2008,480610,1
2008,480700,1
2008,480810,1
2008,480990,1
2008,481092,1
2008,481099,1
2008,481159,1
2008,481190,1
2008,481200,1
2008,481420,1
2008,481490,1
2008,481930,1
2008,481950,1
2008,482010,1
2008,482040,1
2008,482090,1
2008,490600,1
2008,510219,1
2008,510320,1
2008,510330,1
2008,510720,1
2008,511190,1
2008,511290,1
