,j,cs,ns,cn,nn
2008,LV,345680.33037,594778.04953,2419006.92395,7443549.11368
2008,LY,539159.378,1400253.704,1998805.778,7481748.744
2008,MA,1023068.977,2331885.708,4890068.243,17744091.442
2008,MD,68343.766,124443.066,562700.193,1506698.379
2008,MG,223943.15451,621730.3872,512743.18051,1497585.24884
2008,MH,23877.812,730351.68,23123.315,7161722.456
2008,ML,86676.67335,196318.22853,509273.62785,1116041.77612
2008,MM,539532.287,1113288.372,385157.255,1320199.556
2008,MN,218881.471,468753.112,144006.854,813464.027
2008,MO,439788.10557,870593.70454,349549.20083,1293229.54644
2008,MP,0.0,0.0,9251.251,25565.101
2008,MR,17324.247,99184.98,208851.055,635562.02
2008,MS,19.105,30.114,3140.126,8811.513
2008,MT,76715.05391,860497.46033,612993.05856,5959958.71041
2008,MU,199381.19588,477675.67163,487187.85503,1557462.44091
2008,MV,59344.54545,49684.96862,201529.31619,423114.68973
2008,MW,115358.68202,437193.91387,312662.05192,890055.58495
2008,MX,5055837.557,26076063.7408,40898414.4576,158642471.484
2008,MY,4007959.259,13726540.6,12937076.537,59600983.516
2008,MZ,111633.056,196813.885,443758.279,1531150.569
2008,NC,29327.54644,130834.61695,414807.92176,1250409.93608
2008,NE,157985.846,131282.157,88803.199,392145.573
2008,NF,338.096,440.225,2223.249,5248.263
2008,NG,1521304.612,4328484.281,3045464.096,15380948.418
2008,NI,128332.51883,338058.02903,804388.62613,1698337.58535
2008,NL,13649834.1336,37580989.4486,105273429.313,226423193.255
2008,NO,1834135.69159,5068386.27206,13542470.8686,49545362.9903
2008,NP,46311.961,117971.928,83886.326,293806.603
2008,NR,66.814,2.517,5352.683,11184.943
2008,NU,2.945,11.778,1660.382,4431.111
2008,NZ,652231.92295,2050776.32774,6321506.98771,14500870.8444
2008,OM,395817.338,566595.146,2232197.48,9593101.438
2008,PA,1108382.26057,1863845.09344,2209298.51704,23412545.1774
2008,PE,3954230.88704,4216698.26007,3820047.56012,12638859.0442
2008,PF,6312.609,12167.739,175274.84,627591.686
2008,PG,85750.266,158433.748,567773.892,986454.923
2008,PH,2193590.377,5005674.25,5639111.485,24166092.789
2008,PK,1714714.4012,5247307.96766,8258648.89805,18184693.9478
2008,PL,2227539.29478,10130836.3049,51693036.3743,103108355.748
2008,PM,0.0,0.0,7512.745,20712.944
2008,PN,1.749,6.477,828.907,2931.403
2008,PT,4728962.12614,4456666.28647,16008689.7711,39749646.4079
2008,PW,1906.41,1048.775,4257.605,7406.675
2008,PY,888185.31191,2412425.54767,549320.2957,1709188.52979
2008,QA,494441.277,873350.597,5002539.667,14386840.259
2008,RO,1784871.00589,3767670.15168,20004706.9077,40354150.7346
2008,RU,6263660.45247,24435408.234,34691160.8252,145525954.808
2008,RW,6927.553,57898.248,168787.667,497041.77
2008,SA,3511564.104,8380518.3885,14115441.5025,55773625.5422
2008,SB,3390.051,4058.275,15905.479,63568.26
2008,SC,6745.175,8916.23,85754.234,269829.796
2008,SD,1138399.93506,1682290.83022,1121394.22851,10007824.0415
2008,SE,2882129.06019,5902187.83959,34554848.8769,77124598.0406
2008,SG,6943121.56727,24292165.3683,52172926.1674,99324641.7463
2008,SH,2.705,548.722,3646.433,19164.099
2008,SI,460830.1514,1472153.67581,6004530.96386,16912317.6648
2008,SK,1690555.39931,3873451.09302,15641781.9148,35644621.7329
2008,SL,17155.857,50471.797,43537.918,168384.239
2008,SM,826.398,3142.337,47087.033,196886.129
2008,SN,887917.21423,402143.92734,801388.14951,2431306.71944
2008,SO,10492.222,23099.138,62040.161,299121.395
2008,SR,33456.415,57652.254,274614.565,465017.576
2008,ST,485.365,774.074,16116.321,32066.827
2008,SV,645716.91975,424220.49999,1378925.51576,4601000.20216
2008,SY,1039325.9646,2310963.7886,2818289.6568,8282341.32896
2008,TC,946.797,2973.049,74178.572,132665.404
2008,TD,18850.504,58938.221,61393.121,293034.349
2008,TF,77.799,186.97,5397.747,21773.749
2008,TG,169098.4558,406607.73328,211237.46307,692292.19344
2008,TH,8134325.0254,21684338.6077,41386161.1259,76230769.885
2008,TJ,219558.801,391721.204,157580.817,630284.809
2008,TK,0.0,102.307,4195.518,93773.841
2008,TM,123063.437,630561.837,600509.671,1563539.855
2008,TN,504166.31014,2311732.1904,5067589.50045,13256483.1107
2008,TO,1380.73052,4604.34668,15105.16046,48734.39852
2008,TP,1912.035,3406.374,8714.373,31577.481
2008,TR,5686251.35072,16369342.7484,36530610.7674,99313959.9538
2008,TT,713164.4042,891461.54757,3283709.19308,3202193.58367
2008,TV,345109.73782,1028007.97882,5680241.66957,10653550.6183
2008,TW,4838098.493,18756773.87,157336135.581,94131086.887
2008,TZ,397115.72044,801694.96533,900605.42753,3234010.11233
2008,UA,3511225.412,6231436.445,15925748.532,32730797.395
2008,UG,131127.3132,436094.61124,582659.77531,1830506.67138
2008,US,126992240.318,180130112.931,421552771.916,778115084.709
2008,UY,575499.6311,1362778.00866,2205307.087,3724970.28384
2008,UZ,207673.149,931994.127,935193.064,3873454.732
2008,VC,26666.519,18966.617,38344.129,137638.303
2008,VE,1490642.617,4854326.795,5675236.044,19080106.111
2008,VG,36508.36,33307.616,236653.001,829207.357
2008,VN,4234553.07216,10911998.8285,10375264.0984,33268051.4032
2008,VU,9341.53,17506.078,27128.898,168268.346
2008,WF,164.958,937.921,7076.079,15187.916
2008,WS,10222.436,10846.308,31233.925,69992.475
2008,YE,346670.211,563188.536,614814.947,2311738.091
2008,ZA,8312470.50123,9726986.76477,16359412.1419,40007836.5177
2008,ZM,131287.8743,315018.49513,1556636.19878,2243055.04204
2008,ZR,118832.46,327701.564,589801.655,1569444.014
2008,ZW,55102.96087,209029.95667,450115.53823,1445586.5274
2009,AD,60006.853,46063.145,142559.032,358459.866
2009,AE,3449717.008,6492036.369,18068328.454,47427302.316
2009,AF,168967.682,320703.471,831916.597,2824769.815
2009,AG,200553.618,256677.849,147260.759,149109.195
2009,AI,3.295,474.748,11857.341,26279.71
2009,AL,392025.77832,728506.3314,613730.96844,1323815.75596
2009,AM,33680.89387,124130.25122,505058.64313,1660893.69331
2009,AN,9596.675,32358.638,221944.261,690395.975
2009,AO,161053.973,634287.203,2716450.853,8034907.113
2009,AR,363467.03421,1457845.93388,6519424.1512,23182303.6421
2009,AS,589.769,1524.998,6629.545,45625.549
2009,AT,2921420.93452,6314767.45881,26157711.4084,58813772.0556
2009,AU,7551221.95472,5348480.99656,23198384.6221,67932118.0571
2009,AW,9414.94623,31847.46238,207379.04179,417838.91631
2009,AZ,65255.75382,209505.91805,1469943.18647,4262557.44083
2009,BA,204243.08597,501160.39723,1518548.1326,3117746.22105
2009,BB,45964.823,794111.214,130650.868,329766.312
2009,BD,308420.417,1880014.301,2298617.444,8775201.244
2009,BE,4047193.77562,12060441.605,56406498.5683,171527193.589
2009,BF,28911.78119,79104.90842,318480.49884,754659.92808
2009,BG,520728.14178,1568017.59782,5764550.9216,9750402.65517
2009,BH,421456.5994,1016086.62979,962337.29547,4032961.69939
2009,BI,19095.277,48238.244,61003.628,151185.685
2009,BJ,94530.278,77422.801,1100528.623,1679090.516
2009,BM,670.71,4078.695,242106.537,1346719.288
2009,BN,11002.166,40707.765,269427.949,1134439.243
2009,BO,122903.1927,213233.04304,768856.13785,2528861.51862
2009,BR,7584993.83155,7815918.97276,17486997.9866,76216907.7374
2009,BS,124999.40894,408325.32403,595448.14801,1995163.07407
2009,BT,61454.39706,182240.0628,10520.70924,89235.46173
2009,BY,466520.95425,1046647.65376,9643188.03187,11036050.1116
2009,BZ,32013.875,529801.114,88833.269,250551.371
2009,CA,4617548.29884,6176707.83029,63210333.5822,150173759.594
2009,CC,3357.371,24148.059,491.442,2476.185
2009,CF,408.12,10605.261,16172.131,93329.023
2009,CG,79721.384,330702.477,448297.162,1375744.989
2009,CH,10780391.4485,8882579.86254,40896726.0619,73777763.3648
2009,CI,1512507.11497,287882.02697,824321.72578,2279586.4602
2009,CK,347.954,3983.262,14739.711,28062.711
2009,CL,511464.06769,1706025.96213,9036300.96454,18017339.1358
2009,CM,515425.778,99183.762,367026.954,1559607.275
2009,CN,42273904.1252,120123891.554,151967969.509,395796141.851
2009,CO,337347.67623,1395080.1315,4778883.89999,19134208.3288
2009,CR,73972.69678,247626.67197,1312941.2742,5218177.65075
2009,CU,59814.123,214961.082,769182.664,2354211.078
2009,CV,9303.77079,15895.83439,111803.65422,262020.7289
2009,CX,8916.287,7825.973,350.649,2672.956
2009,CY,431217.35719,401964.93494,1361107.51525,4653815.98289
2009,CZ,2703477.215,6765256.7304,18827262.5866,51415801.7061
2009,DE,21698001.3829,52090492.5172,142688750.153,394645257.308
2009,DJ,72523.92318,208649.56685,253602.88763,903668.45189
2009,DK,1206800.86256,2801483.16481,13809219.2771,33707162.1303
2009,DM,1276.6898,16826.29192,40354.94864,133605.86235
2009,DO,77650.15938,248522.61522,2028607.13855,5523860.52869
2009,DZ,1969771.62208,3619025.3801,6416705.83682,22414550.8475
2009,EC,353706.45575,778281.23354,2115956.27502,7887599.09591
2009,EE,197816.18214,398939.18696,1554821.22157,4854130.7312
2009,EG,1968354.57269,5363515.49503,8990847.05498,28233430.4907
2009,ER,8045.73,46599.088,38178.929,108337.528
2009,ES,10336673.1649,18504293.3904,46733361.4106,121505060.838
2009,ET,233914.52866,746880.71998,1093705.90888,3570902.58666
2009,FI,848239.15817,2126927.97279,14059377.1624,25777112.5289
2009,FJ,48456.69423,233473.91777,118148.28428,410884.92512
2009,FK,0.0,120.915,12803.288,13593.293
2009,FM,37.174,1393.895,9331.047,59645.611
2009,FR,14910221.4171,31899489.306,81220661.8976,254209618.941
2009,GA,23302.391,55414.464,261875.864,1047727.913
2009,GB,6746509.49959,21980779.2104,79953697.8642,217780084.304
2009,GD,284.841,684.285,25200.37,65458.202
2009,GE,24684.93329,108461.51522,562505.20887,1884500.18964
2009,GH,389974.231,366547.701,1057684.079,3698145.328
2009,GI,18005.142,14137.286,83010.641,280020.119
2009,GL,878.94272,1290.24634,106517.4984,252236.29814
2009,GM,12898.861,26507.392,132035.811,211991.284
2009,GN,11547.507,56728.846,260120.877,546685.838
2009,GQ,3374908.947,72034.959,404215.225,814377.741
2009,GR,2139814.06373,4158887.16384,12147117.5378,25374478.1362
2009,GT,189540.37572,427940.38021,1576073.98536,4932018.91898
2009,GU,749.722,4486.273,22154.774,121935.31
2009,GW,1289.45,3457.461,28487.854,73032.918
2009,GY,6497.08908,26890.5379,173157.18061,546585.81712
2009,HK,4643608.35586,17156929.9448,38219470.3279,162247685.401
2009,HN,101813.40462,275483.21688,842502.60639,3012339.20313
2009,HR,756781.28494,1955462.56795,4145754.85712,7643110.09218
2009,HT,6424.72,21236.664,253038.155,912977.154
2009,HU,1463756.69677,4325629.28676,14643531.2929,38455423.8012
2009,ID,2150810.837,3739278.065,16525463.227,47157363.862
2009,IE,388170.17937,1581349.85521,7559348.97994,31087038.7937
2009,IL,696856.66714,2125557.15349,6827846.08883,22184123.3691
2009,IN,25770438.9573,19781506.5277,86277225.0067,100727240.403
2009,IO,417.516,372.384,1906.043,5884.487
2009,IQ,476305.182,837617.194,3558139.1,7890969.693
2009,IR,837888.582,3162780.322,7173149.871,24201670.22
2009,IS,50463.81965,147740.79915,419955.14327,1939352.27667
2009,IT,6259205.9611,13859827.5641,80389842.9081,199659645.699
2009,JM,22869.60706,56585.32213,1246342.98808,1684922.62638
2009,JO,1683135.09123,1166128.73668,1871393.58993,7116401.00394
2009,JP,32627814.0868,64288514.4354,84591317.2474,188805846.731
2009,KE,369666.23822,914394.75804,1822244.44347,5045521.38819
2009,KG,10884.59144,24401.48089,407732.46344,1468010.50522
2009,KH,234156.72066,771905.27043,806053.16025,2590959.70586
2009,KI,768.606,7175.497,4732.357,13998.64
2009,KM,18744.62216,17658.3952,92373.02705,264628.3412
2009,KN,1043.99214,2282.6543,51799.57538,115402.5792
2009,KP,59384.796,59506.251,862421.428,1069112.075
2009,KR,23978370.312,31802351.0873,65152638.3234,151636902.685
2009,KW,370993.477,936237.986,1926276.681,6798440.388
2009,KY,212.025,1645.188,104339.698,1232473.426
2009,KZ,737386.68059,1336845.80878,6207484.09986,14231553.2999
2009,LA,52906.777,97262.305,360960.045,1155318.607
2009,LB,326647.8777,777176.17127,1920805.76931,6213130.84661
2009,LC,630.744,2198.961,2472898.148,104113.001
2009,LK,375467.26071,1281428.54314,1804104.13976,3840949.90104
2009,LR,314236.627,82083.285,2063445.374,3764280.277
2009,LT,453426.83434,985595.33892,5543634.56861,6507366.54631
2009,LV,181098.72871,349971.6184,1293073.63993,4430602.28772
2009,LY,534572.46,1540665.971,3159904.662,8133646.892
2009,MA,417143.728,1433992.548,3656512.935,14162163.656
2009,MD,76143.51825,179857.87416,388134.82273,1428671.74433
2009,MG,59598.97449,138299.41703,864584.47009,1500784.96356
2009,MH,35500.844,12947.983,2807069.598,7068543.842
2009,ML,16911.535,45394.046,339591.365,786633.448
2009,MM,42674.7,166881.085,1122301.931,2816225.788
2009,MN,5633.642,14606.123,243269.418,906809.954
2009,MO,57812.46924,237418.5808,496620.80252,1493555.98231
2009,MP,68.443,166.15,3346.213,9484.753
2009,MR,23193.269,42000.232,208171.398,687684.995
2009,MS,85.402,260.417,2952.083,6520.861
2009,MT,222070.06949,466511.6244,1253686.49957,3834893.88361
2009,MU,104377.10417,318938.23043,380904.29443,1658717.86078
2009,MV,33769.56989,79129.91744,129754.06274,268171.22534
2009,MW,73596.06674,239165.91436,282206.44265,878600.90008
2009,MX,1603500.85834,7189304.75993,39390486.7733,131472707.66
2009,MY,5401053.66283,12863988.018,14621426.5012,60509862.5507
2009,MZ,92761.029,161768.842,470464.227,1909123.757
2009,NC,82275.84544,175786.0815,333575.04265,915392.64466
2009,NE,31719.23938,72388.91507,262308.61201,842060.71312
2009,NF,550.624,1944.894,1044.427,4321.828
2009,NG,1299536.01792,2058818.76821,7327293.34985,21928330.1034
2009,NI,54501.37813,130564.7086,752388.44793,1649274.3497
2009,NL,5780940.16164,11979397.4183,80352803.2796,175265150.945
2009,NO,1407623.83875,3045422.78849,11109408.7575,34971896.5616
2009,NP,385000.46965,1106920.25728,243699.12499,793570.42664
2009,NR,3240.528,5028.068,567.906,5214.099
2009,NU,7762.358,274997.237,1193.56,3992.582
2009,NZ,1412238.94736,2763361.6116,3523347.02281,8452904.07295
2009,OM,414105.398,714160.626,1168242.701,6649126.716
2009,PA,251220.6013,988459.93133,5701405.12193,10695285.058
2009,PE,691901.82881,721202.04229,4838125.80728,11608606.0632
2009,PF,17871.22994,59356.64032,181946.88625,601722.76478
2009,PG,523698.685,591075.421,342877.617,918914.069
2009,PH,299977.903,1321757.373,6397871.241,25107395.259
2009,PK,2911378.26655,2939020.92432,4761675.56941,14700784.0268
2009,PL,2523876.15202,7871424.03463,35036042.3754,72832106.034
2009,PM,72.583,90.16,7287.309,36464.115
2009,PN,286.685,60.439,578.054,1381.345
2009,PT,2455523.09167,4098326.28565,11537441.4204,29324354.8865
2009,PW,9.886,157.329,1704.807,8558.08
2009,PY,25664.41387,84522.85768,1005843.33689,2936707.28156
2009,QA,757765.002,1367408.989,3149389.736,8142338.508
2009,RO,2351356.96793,4370752.91929,12052930.7491,22420305.3293
2009,RU,2697170.78062,7592504.64934,23444010.1821,79910136.7435
2009,RW,29606.93425,100451.71909,169169.08417,647520.7938
2009,SA,1980523.1376,4697857.773,12980319.7783,45302652.2361
2009,SB,8978.605,26461.807,15099.244,57027.775
2009,SC,7370.201,31148.744,72585.032,440281.933
2009,SD,480080.96111,1458793.97068,1555378.23092,4748551.36915
2009,SE,1831836.1038,4315110.48625,22357873.1637,52151337.4673
2009,SG,12545544.4578,12105708.139,28346022.7084,86255316.1709
2009,SH,0.0,22.896,11151.267,19002.346
2009,SI,942916.64128,2085368.93867,3482967.03038,10191765.8552
2009,SK,1405987.74347,3324194.01726,10524956.3067,24785610.8276
2009,SL,11023.171,27076.185,57926.577,217054.911
2009,SM,1177.634,379.507,58509.297,113537.786
2009,SN,473593.24958,243219.11494,601680.45318,1905139.28665
2009,SO,12032.735,108773.72,15229.611,110465.313
2009,SR,9625.032,54726.068,223144.036,499015.225
2009,ST,25.081,1031.393,11306.958,31858.151
2009,SV,63467.96186,141336.30018,1411816.88221,3143500.62734
2009,SY,705837.53939,1286469.92823,2832077.3729,9396432.56525
2009,TC,286.923,968.273,39713.829,61310.984
2009,TD,32570.868,31697.126,95228.513,439626.965
2009,TF,149.509,702.235,5679.718,13759.247
2009,TG,45398.24549,152645.58929,624427.87292,1049232.19209
2009,TH,9224784.16757,9772297.41306,29937612.3188,59958821.9092
2009,TJ,3673.984,11667.233,281004.466,880737.045
2009,TK,34.926,168.758,16257.116,73264.714
2009,TM,28305.236,163373.506,1198456.286,2746523.953
2009,TN,835533.498,2371790.62321,2957890.49259,10249019.7511
2009,TO,1138.2275,8596.46122,15815.12655,41402.50839
2009,TP,2910.94,16077.826,15120.647,32066.024
2009,TR,4408931.71386,9690223.01123,26869076.1111,65562614.7897
2009,TT,98913.89508,371393.59842,2639349.67133,2671769.82316
2009,TV,351428.59219,893054.10114,3401680.1324,6037048.40851
2009,TW,100564089.787,13829318.66,16710803.316,72636686.128
2009,TZ,271097.95571,786067.12894,729550.67503,2867640.41187
2009,UA,1177468.586,2178196.619,8602380.493,15152693.81
2009,UG,297889.04289,497146.07315,456197.33039,1590337.42052
2009,US,53731085.9077,46053748.5773,320389491.02,636415375.065
2009,UY,50964.31531,183045.83809,1650562.76095,3469088.2529
2009,UZ,42272.172,151560.395,1238982.342,4873009.656
2009,VC,6159.11413,8390.40893,58919.38883,236035.52144
2009,VE,300053.982,896169.036,5176896.806,15982744.279
2009,VG,8723.853,121244.829,398822.553,1267536.229
2009,VN,2779743.43396,6685928.84717,11532167.4473,33103015.9026
2009,VU,36329.461,13812.487,25080.11,99058.628
2009,WF,207.4,2394.975,3071.648,5455.068
2009,WS,4193.45442,12459.83603,35504.25672,68697.05506
2009,YE,250510.89285,688224.00221,1032663.04826,4200100.0696
2009,ZA,6024791.30354,4654896.97342,13444234.7011,30437221.8591
2009,ZM,45652.90245,160472.52908,1064245.29941,2066404.16833
2009,ZR,112404.425,330274.682,409973.362,1146388.385
2009,ZW,20830.36699,117564.51479,435360.5358,1738716.02004
2010,AD,164453.08,21558.427,98341.535,347507.274
2010,AE,7650438.403,23302169.437,10028823.371,42055770.603
2010,AF,379220.892,1133120.526,396930.791,2415591.522
2010,AG,206895.344,471944.571,23103.203,197554.07
2010,AI,409.248,1075.694,5160.938,16461.435
2010,AL,80766.76276,270153.93864,755962.60511,1604624.37826
2010,AM,352050.6676,663396.84378,424269.64761,1109857.27994
2010,AN,172890.493,132737.851,260099.001,580488.343
2010,AO,739127.823,2227154.008,1450134.585,5391672.938
2010,AR,4217437.43475,21734151.3973,3760106.31587,16614193.1348
2010,AS,209.832,6208.562,15524.548,17744.997
2010,AT,3457820.86637,9367362.25287,26201418.0635,68474413.9229
2010,AU,12520637.0194,40778468.2527,23216285.1525,52655278.3787
2010,AW,11623.82803,65430.09476,165055.34334,329703.19991
2010,AZ,490478.50132,1550419.70048,1173216.14701,4031361.22162
2010,BA,722844.82615,599435.71611,1237490.86063,3393617.41543
2010,BB,289300.849,652220.733,95350.94,305802.403
2010,BD,2520579.978,10230677.491,1385635.518,5947152.997
2010,BE,7250330.80055,33529754.2929,71037093.4014,164984479.34
2010,BF,87699.68741,242198.3201,230450.31759,722715.81324
2010,BG,3893882.80278,1996512.58808,3949640.67641,9678252.5119
2010,BH,532486.12514,2749644.43219,850823.62287,4256222.05804
2010,BI,38880.17379,147278.49903,39871.93759,193144.08095
2010,BJ,609897.286,1240286.892,115151.47,1549185.725
2010,BM,8531.31775,199301.82686,88725.47146,3345629.22186
2010,BN,82305.252,329434.75,247852.715,995870.266
2010,BO,806294.20513,2099019.59664,287225.9408,1168962.59806
2010,BR,15044647.2606,44558678.7857,18657795.0731,74198183.3884
2010,BS,74428.61322,547419.45259,242394.34134,1565524.24808
2010,BT,112776.09574,341382.35286,10145.31697,134894.07145
2010,BY,11355324.964,6782513.57568,2799565.7369,7005577.19053
2010,BZ,27544.57035,41091.9472,94018.88858,262477.07438
2010,CA,14193251.1136,36274515.0361,61139372.7762,168465348.451
2010,CC,6.687,676.96,2562.482,5158.103
2010,CF,13457.21199,59278.60087,21871.90786,100804.97913
2010,CG,132360.035,410484.293,286101.459,1188041.245
2010,CH,13855213.0854,12187705.8393,44780203.6383,82168243.0471
2010,CI,1788031.49172,1412562.93222,580556.05038,2020571.7094
2010,CK,767.886,1974.401,6100.453,24254.708
2010,CL,5690553.87864,12529908.5694,5597561.81802,16101444.1415
2010,CM,681180.456,460669.211,308083.355,1352161.334
2010,CN,63928867.6008,251040479.765,195338264.459,560285482.045
2010,CO,2088140.35386,8609212.38875,4019505.68333,16748089.3083
2010,CR,598196.68835,1761967.57159,1699997.91834,5757834.38421
2010,CU,296813.225,1104613.315,578274.647,1880706.312
