,j,cs,ns,cn,nn
2008,AD,792.541,594.455,180492.652,478270.192
2008,AE,11163614.0371,19663765.2238,24858470.0461,74842234.0527
2008,AF,295035.957,397175.722,362453.96,1751505.587
2008,AG,3968.821,558531.51,57287.912,498904.391
2008,AI,207.369,355.38,27342.193,55430.773
2008,AL,50408.528,130134.462,733329.448,1575947.193
2008,AM,54398.04333,226642.2011,621247.61902,2027565.82515
2008,AN,26653.926,43657.551,353969.788,1203231.689
2008,AO,1266364.164,2519836.818,2088607.218,8482423.597
2008,AR,4449689.53259,17443577.6356,4106596.09098,19622522.8097
2008,AS,255.493,11.0,35565.522,28870.846
2008,AT,2912996.95182,5259519.83111,32919267.1702,84287077.2779
2008,AU,9086539.49994,14809034.2619,28432477.4544,76260139.6134
2008,AW,2134.834,35124.362,1348158.657,260780.602
2008,AZ,113851.06646,523741.87581,1777499.05267,5500286.81444
2008,BA,118562.97593,405969.014,2026229.39921,5264732.84703
2008,BB,16431.977,19171.913,163097.543,512138.557
2008,BD,1006023.316,3826249.54,962359.991,5285299.525
2008,BE,8287397.64924,18479564.7659,76597317.1362,233079869.488
2008,BF,7959.2,25960.162,193883.724,413792.796
2008,BG,786784.47827,1820661.5729,10698582.8269,16260026.379
2008,BH,205879.479,783078.165,1007490.534,4689936.752
2008,BI,2350.663,19713.464,62714.045,129070.511
2008,BJ,302541.809,1469008.93,204324.977,1222807.732
2008,BM,78955.614,97517.677,93602.338,2982516.803
2008,BN,44509.955,60068.641,216760.727,864203.233
2008,BO,575626.37992,877146.76061,559173.84466,2520401.03051
2008,BR,13932369.6905,17603617.0969,23198572.4031,94958704.7555
2008,BS,40291.412,624080.354,397889.9,4765723.296
2008,BT,59832.54542,218861.21898,23277.33719,92755.74534
2008,BY,664247.60954,1616943.36215,13914604.2971,15862149.301
2008,BZ,11227.01,18769.519,154076.896,255957.027
2008,CA,15097316.0692,20706249.8399,70615958.219,189443871.006
2008,CC,0.0,0.0,1164.086,5102.71
2008,CF,1374.073,7850.972,16394.667,93271.861
2008,CG,121060.898,382301.065,367023.175,1373946.887
2008,CH,2321680.36409,9991586.98306,28282903.6885,112746776.693
2008,CI,2363929.40294,432396.28074,980955.79672,2206474.92294
2008,CK,233.716,507.564,11295.087,32332.583
2008,CL,7281412.7877,6933625.7443,6943678.79614,22528943.1592
2008,CM,110304.342,273237.789,417137.758,1370173.335
2008,CN,32448000.0245,52806180.3797,183432603.987,526887193.626
2008,CO,1591835.03718,5342043.51177,4571697.06115,20165154.0303
2008,CR,337860.29742,855118.1755,2405540.37728,8149550.64115
2008,CU,289282.073,946466.49,953107.657,3621124.965
2008,CV,18196.69934,17182.73704,160582.91877,308870.11986
2008,CX,0.0,0.0,2591.887,18063.654
2008,CY,235502.60703,1208276.48381,2044997.72989,6915554.39799
2008,CZ,3568699.39044,12008512.182,27010450.9544,69932365.7452
2008,DE,25623339.7126,78918142.4842,200785058.38,509828139.177
2008,DJ,107758.309,158000.85,161144.397,609108.392
2008,DK,1685739.50174,4025738.93178,17175545.568,49343411.9546
2008,DM,15193.426,48298.649,40302.967,104948.567
2008,DO,357505.12726,934956.18124,2034399.93719,6527651.13765
2008,DZ,887880.64084,3894081.47099,7339376.42032,23164896.7149
2008,EC,792357.16538,1841307.69251,2340852.41627,8695326.2195
2008,EE,309848.87976,769275.82533,2717686.39475,7407077.85381
2008,EG,2075417.72195,5813849.93048,11420295.8745,32592617.2288
2008,ER,17434.821,11741.647,32431.378,96379.26
2008,ES,15133047.4659,32201030.4881,74000525.8897,182835208.648
2008,ET,554008.80911,1570864.63488,717127.38656,3019666.24838
2008,FI,1700866.74473,5678347.31328,20043589.3577,45811278.7954
2008,FJ,29067.17763,98378.86694,234466.47777,772138.14647
2008,FK,0.0,0.0,6899.265,24304.391
2008,FM,704.713,1468.927,10747.402,42342.299
2008,FR,17006251.8844,35740231.1783,121701651.899,332129925.742
2008,GA,44440.02,83266.003,318404.763,1173715.172
2008,GB,14318740.0527,30793874.8349,97235062.5989,314772821.895
2008,GD,1305.375,3432.068,39675.143,91078.119
2008,GE,69453.336,229156.804,724367.732,2260404.973
2008,GH,498782.002,880019.064,950120.322,3086709.2
2008,GI,49924.055,40148.565,99188.879,387807.487
2008,GL,1062.9658,3377.8097,122164.7892,304958.67143
2008,GM,27193.127,128216.398,63259.204,152325.869
2008,GN,82782.012,142215.884,207300.465,605648.836
2008,GQ,122313.394,164645.373,215507.49,564302.157
2008,GR,1064203.72751,4265688.94767,18935040.11,35847059.3861
2008,GT,350224.07576,813014.21714,1750382.669,6483851.69658
2008,GU,0.0,94.233,32423.455,141659.07
2008,GW,4413.665,4394.681,28563.041,58024.581
2008,GY,30978.81223,70441.06628,141218.87299,537458.07654
2008,HK,17853379.3208,107272014.919,14290766.9539,117702076.458
2008,HN,123217.292,256568.862,1100714.711,4274783.596
2008,HR,383998.63201,1389441.73584,6919613.74669,13609398.8344
2008,HT,40415.176,75909.18,229602.116,855474.04
2008,HU,1447795.47457,8385389.30705,19188409.1538,57359029.2057
2008,ID,4454348.902,11655920.26,12200179.515,49594399.103
2008,IE,535186.15986,5188313.59497,10478902.7836,42696568.7064
2008,IL,1022155.29706,2687035.68172,8906737.09874,34630389.4921
2008,IN,9150438.916,23547360.057,26878304.959,108741378.766
2008,IO,0.0,0.0,706.726,7464.496
2008,IQ,219897.919,803902.57,2923982.895,7889241.348
2008,IR,2061531.351,5768189.443,5998446.997,27486745.494
2008,IS,88542.02163,333551.70667,857135.28,3249841.4107
2008,IT,14089104.0752,41574309.6113,107425309.579,252256992.871
2008,JM,316402.43195,296548.33274,1767035.38578,2322673.32197
2008,JO,651195.5621,1747198.86743,4481000.60973,7882674.79781
2008,JP,28630780.7836,79229140.4469,181790429.959,266368599.383
2008,KE,507581.83291,1229203.67245,2500975.87362,4589394.22313
2008,KG,215219.78303,991744.86301,390235.79226,1037451.96678
2008,KH,585112.85014,1210103.55332,789435.63094,2920555.06959
2008,KI,440.032,208.122,4309.405,22945.916
2008,KM,16330.30042,16446.72174,106949.61843,348622.88107
2008,KN,2145.898,1057.463,36289.096,99300.027
2008,KP,887195.514,882718.432,62077.874,400544.714
2008,KR,23566812.5182,50732707.5358,112577263.404,181757810.69
2008,KW,526688.913,1216856.447,2323115.475,9782836.599
2008,KY,113880.055,258368.895,178585.263,1334762.981
2008,KZ,1367003.078,3506710.96,7351675.171,12247982.17
2008,LA,117337.158,221668.951,311198.874,940604.272
2008,LB,643503.39935,1037501.16884,1720766.30376,5944454.32644
2008,LC,3574734.288,24629.176,55047.093,130400.509
2008,LK,673975.67841,1914112.93455,2713669.43453,5224729.00976
2008,LR,209945.253,696060.132,115546.67,5370635.828
2008,LT,926012.45417,1696570.96037,9587145.99724,12074105.6824
