Date,Africa,Americas,Asia,Europe,Oceania
1/1/2008,0.221421308,3.763304009,2.958032186,4.961255275,1.030902374
1/1/2009,0.258898666,3.671480001,3.1475164,4.774638086,1.09115897
1/1/2010,0.225570934,3.835234587,3.313247687,4.080535251,1.103269161
1/1/2011,0.228149603,3.817506034,3.495034722,4.130302343,1.171980211
1/1/2012,0.227485886,3.973252088,3.544154712,3.636062841,1.229552389
1/1/2013,0.240855601,3.997610882,3.553851421,3.586214444,1.115204231
1/1/2014,0.303584051,4.024327328,3.476789101,3.505004201,1.081458203
1/1/2015,0.288936712,4.055338499,3.414067213,3.325337193,1.071087542
